,Unnamed: 0,Theme,Sub Theme,Feature Name,x,y,queryKey,explore,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
57,57,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,144.969899048343,-37.8174831423197,The Ian Potter Centre: NGV Australia,The%20Ian%20Potter%20Centre:%20NGV%20Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.824,1138.656,1464.904
58,58,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,144.968963600783,-37.8178516571684,Federation Square,Federation%20Square,0.0,0.0,0.0,556.809,391.765,699.443,801.187,1075.487,576.887,0.0,0.0,0.0
59,59,Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,144.9839700954,-37.8188662730911,Thoroughbred Racing Gallery,Thoroughbred%20Racing%20Gallery,83.332,79.85,86.196,84.409,99.607,84.126,99.319,111.755,91.013,42.061,105.274,87.645
60,60,Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,144.98380297866,-37.8247252673963,AAMI Park,AAMI%20Park,168.078,130.864,159.647,207.729,140.731,142.316,166.322,157.135,145.195,142.915,141.132,133.476
61,61,Transport,Marina,New Quay Marina,144.942283726231,-37.8152925454954,New Quay Marina,New%20Quay%20Marina,184.003,255.963,268.116,217.792,221.567,228.635,297.244,311.623,182.894,192.821,206.219,152.267
62,62,Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,144.943475014215,-37.8165177307702,Central Pier,Central%20Pier,216.925,308.179,325.205,262.061,269.355,275.461,362.277,380.149,222.665,233.275,249.326,180.948
63,63,Observation Tower/Wheel,Observation Tower/Wheel,Melbourne Star Observation Wheel,144.937588920436,-37.8116163666726,Melbourne Star Observation Wheel,Melbourne%20Star%20Observation%20Wheel,101.988,144.519,153.247,123.475,125.772,129.423,169.366,177.675,103.538,109.143,117.053,85.79
64,64,Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,144.948496661709,-37.8213744301481,Fox Classic Car Collection,Fox%20Classic%20Car%20Collection,315.749,450.717,476.714,384.356,404.883,404.81,531.761,556.286,335.734,351.171,369.499,268.003
65,65,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,144.936833674975,-37.8116945351989,Wonderland Park,Wonderland%20Park,97.767,138.675,147.061,118.441,120.707,124.165,162.594,170.584,99.387,104.713,112.304,82.218
66,66,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,144.978487173787,-37.8220456119807,Rod Laver Arena,Rod%20Laver%20Arena,100.157,85.778,100.18,117.067,95.096,89.758,105.017,101.768,74.88,0.0,0.0,0.0
67,67,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,144.978735802793,-37.8209085970021,Melbourne Park,Melbourne%20Park,265.329,206.822,252.108,327.596,222.656,224.857,262.855,248.596,228.935,224.293,221.495,209.48
68,68,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,144.977591098955,-37.8213252086842,Margaret Court Arena,Margaret%20Court%20Arena,298.734,232.477,283.595,369.101,250.196,252.96,295.678,279.489,258.17,253.789,250.622,237.027
69,69,Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,144.981834802535,-37.823110002667,Hisense Arena,Hisense%20Arena,198.608,154.681,188.665,245.399,166.387,168.203,196.589,185.777,171.514,168.625,166.521,157.489
70,70,Place Of Assembly,Art Gallery/Museum,Melbourne Museum,144.971690718887,-37.8035518129299,Melbourne Museum,Melbourne%20Museum,90.702,85.738,96.414,90.727,95.659,89.909,92.687,96.038,89.889,99.672,96.646,101.443
71,71,Place Of Assembly,Cinema,IMAX Melbourne,144.970639929886,-37.8034315561903,IMAX Melbourne,IMAX%20Melbourne,50.657,59.637,91.763,78.719,83.672,57.549,60.973,88.231,76.763,79.5,63.018,51.58
72,72,Community Use,Public Buildings,Melbourne Theatre Company,144.968297429894,-37.823930384816,Melbourne Theatre Company,Melbourne%20Theatre%20Company,550.117,326.744,503.712,723.807,524.301,480.201,549.505,525.669,509.328,571.978,407.948,602.461
73,73,Place Of Assembly,Theatre Live,MTC Theatre,144.968174400274,-37.8242661832902,MTC Theatre,MTC%20Theatre,518.255,307.861,474.349,681.985,493.545,451.841,516.985,494.563,479.241,538.287,383.926,567.16
74,74,Community Use,Public Buildings,Elisabeth Murdoch Hall,144.967450979234,-37.8239733704282,Elisabeth Murdoch Hall,Elisabeth%20Murdoch%20Hall,583.159,589.607,608.899,422.426,499.109,471.105,519.22,530.915,510.972,587.142,565.956,602.806
75,75,Community Use,Public Buildings,Melbourne Recital Centre,144.967682729667,-37.8238327885805,Melbourne Recital Centre,Melbourne%20Recital%20Centre,594.393,601.225,620.652,428.899,507.183,479.247,528.334,540.28,519.982,597.518,576.075,613.274
76,76,Community Use,Public Buildings,NGV International,144.969342535451,-37.8230135000869,NGV International,NGV%20International,626.661,369.663,575.847,831.966,604.78,555.527,636.401,608.688,589.173,660.698,469.65,694.119
77,77,Place Of Assembly,Theatre Live,Hamer Hall,144.967992144257,-37.8199901009015,Hamer Hall,Hamer%20Hall,1556.615,1451.231,1604.648,1604.705,1507.657,1410.124,1568.283,1565.945,1499.088,1672.547,1580.844,1693.989
78,78,Leisure/Recreation,Indoor Recreation Facility,Artplay,144.971542586509,-37.8184198800044,Artplay,Artplay,763.499,535.802,700.848,952.889,668.212,665.367,780.264,754.466,707.225,731.126,677.122,708.41
